,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scrape_date
282,Mainframe Developer,Hexaware Technologies,3-8 Yrs,Not disclosed,"Pune, Chennai, Mumbai (All Areas)", Job Description: Consultant should have an extensive experience in IBM Mainframe techno...,Db2,Cics cobol dbms mainframes mainframe production support vsam jcl,5 Days Ago,2023-03-05
283,Mainframe Developer,Tech Mahindra,5-10 Yrs,Not disclosed,"Mumbai, Pune, Chennai", Notice Period: Immediate to 15 daysRoles and Responsibilities: Development Activities (...,jcl,cobol cics ims vsam mainframe production support mainframes development,2 Days Ago,2023-03-05
284,Mainframe Developer,Tata Consultancy Services (TCS),2-6 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR", Experience Range: 2 - 6 Years,Mainframes,jcl cobol cics mainframe production support development,12 Days Ago,2023-03-05
285,Mainframe Developer,Capgemini,4-6 Yrs,Not disclosed,Pune, Minimum Hands on duration for Cobol/ DB2. . Ability to develop technical design from fu...,Mainframe,design cobol planning dbms mainframes technical mainframe production support,5 Days Ago,2023-03-05
286,Mainframe PL/I Developer,Capgemini,6-9 Yrs,Not disclosed,Pune, . . . Must have skills are Mainframe PL1 CICS MQ DBLevel 2 Integration Methods Framewor...,Java,JCL Cobol CICS Application development software testing mainframes unit,2 Days Ago,2023-03-05
287,Mainframe Developer ,Freshermart,2-4 Yrs,Not disclosed,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Around 2+ years of experience Mainframe Application Development, Maintenance and Suppor...",COBOL,analysis dbms mainframes mainframe production support system analysis vsam application development,4 Days Ago,2023-03-05
288,Mainframe Developer,Akana Services,4-9 Yrs,6-14 Lacs PA,"Mysore/Mysuru, Pune"," Responsibilities -Production support, Enhancement and Maintenance, Interaction with oth...",mainframes,ibm debugger jcl file-aid file manager management ims topaz,1 Day Ago,2023-03-05
289,Mainframes Developer,Cyient,3-7 Yrs,Not disclosed,Pune, Skills Experience,jcl,semiconductor mainframe production support technology agile methodology analytics aerospace advanced analytics,4 Days Ago,2023-03-05
290,Mainframe Developer - COBOL/CICS,GMT Infotech,3-8 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru"," Primary Skills : Mainframe - COBOL, CICS, ZOS, DB2, JCLResponsibilities : - Consults wi...",COBOL,software development dbms mainframes technical mainframe production support cics software,4 Days Ago,2023-03-05
291,Developer Mainframe,Luxoft,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Bachelors degree in computer science, engineering, or related field preferred. . 5+ yea...",jira,change vsam mainframes production support computer science cics consulting,12 Days Ago,2023-03-05
292,Mainframe PL 1 Developer,Capgemini,9-12 Yrs,Not disclosed,Chennai, . Must have skills are Mainframe PL1 CICS MQ DBLevel 2 Integration Methods Framework Ja...,Career development,Change management Interpersonal skills Performance management Business case application auditing software testing,2 Days Ago,2023-03-05
